Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
163,3/31/17,CHO,,DEN,2nd,11:15.0,CHO down 7 (25-32),M. Plumlee makes free throw 2 of 2,CHO down 6 (26-32)
164,3/31/17,CHO,,DEN,2nd,11:15.0,CHO down 8 (24-32),M. Plumlee makes free throw 1 of 2,CHO down 7 (25-32)
165,3/31/17,CHO,,DEN,1st,02:12.0,CHO down 3 (21-24),N. Batum makes free throw 2 of 2,CHO down 2 (22-24)
166,3/31/17,CHO,,DEN,1st,02:12.0,CHO down 4 (20-24),N. Batum makes free throw 1 of 2,CHO down 3 (21-24)
167,3/31/17,CHO,,DEN,1st,04:07.0,CHO up 1 (17-16),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 2 (18-16)
168,3/31/17,CHO,,DEN,1st,04:07.0,CHO tied (16-16),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 1 (17-16)
169,3/31/17,CHO,,DEN,1st,06:52.0,CHO down 2 (9-11),N. Batum misses free throw 2 of 2,CHO down 2 (9-11)
170,3/31/17,CHO,,DEN,1st,06:52.0,CHO down 3 (8-11),N. Batum makes free throw 1 of 2,CHO down 2 (9-11)
171,3/31/17,CHO,,DEN,1st,09:45.0,CHO tied (4-4),M. Kidd-Gilchrist misses free throw 2 of 2,CHO tied (4-4)
172,3/31/17,CHO,,DEN,1st,09:45.0,CHO down 1 (3-4),M. Kidd-Gilchrist makes free throw 1 of 2,CHO tied (4-4)
173,3/29/17,CHO,@,TOR,4th,00:00.0,CHO up 3 (109-106),F. Kaminsky makes free throw 2 of 2,CHO up 4 (110-106)
174,3/29/17,CHO,@,TOR,4th,00:00.0,CHO up 3 (109-106),F. Kaminsky misses free throw 1 of 2,CHO up 3 (109-106)
175,3/29/17,CHO,@,TOR,4th,00:04.0,CHO up 5 (108-103),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 6 (109-103)
176,3/29/17,CHO,@,TOR,4th,00:04.0,CHO up 4 (107-103),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 5 (108-103)
177,3/29/17,CHO,@,TOR,4th,06:30.0,CHO down 3 (84-87),M. Belinelli makes free throw 2 of 2,CHO down 2 (85-87)
178,3/29/17,CHO,@,TOR,4th,06:30.0,CHO down 4 (83-87),M. Belinelli makes free throw 1 of 2,CHO down 3 (84-87)
179,3/29/17,CHO,@,TOR,4th,07:01.0,CHO down 5 (82-87),B. Roberts makes free throw 2 of 2,CHO down 4 (83-87)
180,3/29/17,CHO,@,TOR,4th,07:01.0,CHO down 5 (82-87),B. Roberts misses free throw 1 of 2,CHO down 5 (82-87)
